0 0.413304 0.032914 0.00434476
1 0.413304 0.037099 0.00507943
2 0.413304 0.0461715 0.00678991
3 0.413304 0.04432 0.006172
4 0.493934 0.0546163 0.00885585
5 0.493934 0.0630237 0.00935651
6 0.497209 0.057733 0.00923046
7 0.497209 0.0689445 0.0121148
8 0.504216 0.0661087 0.0117446
9 0.504216 0.0686362 0.0117464
10 0.59451 0.0854139 0.0148282
11 0.59451 0.0773428 0.0124576
12 0.59451 0.0847999 0.0151658
13 0.59451 0.0754605 0.0115274
14 0.607443 0.0841219 0.0157476
15 0.607443 0.0937654 0.0164466
16 0.607443 0.0793294 0.0143131
17 0.694782 0.0837039 0.0151455
18 0.694782 0.0854439 0.0132668
19 0.694782 0.101671 0.0182504
20 0.694782 0.104188 0.0165195
21 0.694782 0.100429 0.0171261
22 0.694782 0.0953925 0.01841
23 0.694782 0.0890282 0.0177675
24 0.694782 0.10104 0.0171352
25 0.694782 0.092469 0.0152859
26 0.694782 0.0941482 0.0153103
27 0.694782 0.0946243 0.0143373
28 0.694782 0.0949827 0.0162665
29 0.694782 0.104913 0.0198065
